Company Name,CIK
GENERAL ELECTRIC CO,40545
GENESEE & WYOMING INC,1012620
GENESIS ENERGY LP,1022321
GENESIS FINANCIAL INC,1183082
"GENOCEA BIOSCIENCES, INC.",1457612
GENOMIC HEALTH INC,1131324
GENON AMERICAS GENERATION LLC,1140761
"GENON MID-ATLANTIC, LLC",1138258
GENTEX CORP,355811
GENTHERM Inc,903129
GENUINE PARTS CO,40987
GENVEC INC,934473
GENWORTH FINANCIAL INC,1276520
GEO GROUP INC,923796
GEORGIA POWER CO,41091
"GERMAN AMERICAN BANCORP, INC.",714395
GERON CORP,886744
GETTY REALTY CORP /MD/,1052752
"GI DYNAMICS, INC.",1245791
"GIBRALTAR INDUSTRIES, INC.",912562
GIGA TRONICS INC,719274
GILEAD SCIENCES INC,882095
GILLA INC.,1004411
GLACIER BANCORP INC,868671
GLADSTONE COMMERCIAL CORP,1234006
GLADSTONE INVESTMENT CORPORATION\DE,1321741
GLADSTONE LAND Corp,1495240
GLATFELTER P H CO,41719
GLAUKOS Corp,1192448
GLEN BURNIE BANCORP,890066
"GLOBAL BRASS & COPPER HOLDINGS, INC.",1533526
GLOBAL DIVERSIFIED FUTURES FUND L.P.,1068237
GLOBAL EQUITY INTERNATIONAL INC,1533106
"GLOBAL HEALTHCARE REIT, INC.",727346
GLOBAL MACRO TRUST,1145765
GLOBAL PARTNERS LP,1323468
GLOBAL PAYMENTS INC,1123360
"GLOBAL TECH INDUSTRIES GROUP, INC.",356590
"GLOBALINK, LTD.",1361540
GLOBALSCAPE INC,1112920
GLOBUS MEDICAL INC,1237831
"GLOWPOINT, INC.",746210
GLU MOBILE INC,1366246
GLYCOMIMETICS INC,1253689
"GNC HOLDINGS, INC.",1502034
GOLD BILLION GROUP HOLDINGS Ltd,1174814
GOLD RESOURCE CORP,1160791
GOLD UNION INC.,1500122
"GOLDEN ENTERTAINMENT, INC.",1071255
GOLDEN QUEEN MINING CO LTD,1025362
GOLDFIELD CORP,42316
GOLDMAN SACHS GROUP INC,886982
GOLDRICH MINING CO,59860
"GOOD GAMING, INC.",1454742
GOODRICH PETROLEUM CORP,943861
GOODYEAR TIRE & RUBBER CO /OH/,42582
GORMAN RUPP CO,42682
GOVERNMENT PROPERTIES INCOME TRUST,1456772
GP Investments Acquisition Corp.,1635282
GP STRATEGIES CORP,70415
GRACO INC,42888
GRAFTECH INTERNATIONAL LTD,931148
GRAHAM ALTERNATIVE INVESTMENT FUND I LLC,1461219
GRAHAM ALTERNATIVE INVESTMENT FUND II LLC,1461237
GRAHAM CORP,716314
GRAINGER W W INC,277135
GRAN TIERRA ENERGY INC.,1273441
"GRANDPARENTS.COM, INC.",1020475
GRANITE CONSTRUCTION INC,861459
GRANT PARK FUTURES FUND LIMITED PARTNERSHIP,845698
GRAPHIC PACKAGING HOLDING CO,1408075
GRAY TELEVISION INC,43196
GRAYBAR ELECTRIC CO INC,205402
GREAT PLAINS ENERGY INC,1143068
GREAT SOUTHERN BANCORP INC,854560
GREAT WEST LIFE & ANNUITY INSURANCE CO,744455
GREEN DOT CORP,1386278
GREEN ENVIROTECH HOLDINGS CORP.,1428765
GREENE COUNTY BANCORP INC,1070524
GREENESTONE HEALTHCARE CORP,792935
GREENHILL & CO INC,1282977
"GREENLIGHT CAPITAL RE, LTD.",1385613
GREENSHIFT CORP,1269127
GREY CLOAK TECH INC.,1630176
"GREYSTONE LOGISTICS, INC.",1088413
"GRIFFIN INDUSTRIAL REALTY, INC.",1037390
GROTE MOLEN INC,1456212
GROUP 1 AUTOMOTIVE INC,1031203
"GROW CONDOS, INC.",1448558
"GROW SOLUTIONS HOLDINGS, INC.",1104265
"GROWLIFE, INC.",1161582
GSE SYSTEMS INC,944480
GSI TECHNOLOGY INC,1126741
GSV Capital Corp.,1509470
GSV Growth Credit Fund Inc.,1653384
"GTJ REIT, Inc.",1368757
"GTT Communications, Inc.",1315255
GTX CORP,1375793
GTX INC /DE/,1260990
GUARANTY FEDERAL BANCSHARES INC,1046203
GULF ISLAND FABRICATION INC,1031623
GULF POWER CO,44545
"GULF RESOURCES, INC.",885462
GULFMARK OFFSHORE INC,1030749
GULFPORT ENERGY CORP,874499
"GWG Holdings, Inc.",1522690
GYROTRON TECHNOLOGY INC,1369795
Gala Global Inc.,1513403
"Galaxy Gaming, Inc.",13156
"Galena Biopharma, Inc.",1390478
"Galenfeha, Inc.",1574676
"Gaming & Leisure Properties, Inc.",1575965
Gaming Partners International CORP,918580
"Gannett Co., Inc.",1635718
Garrison Capital Inc.,1509892
Gas Natural Inc.,43350
Gastar Exploration Inc.,1431372
"GelTech Solutions, Inc.",1403676
Gemphire Therapeutics Inc.,1638287
"GenMark Diagnostics, Inc.",1487371
"GenOn Energy, Inc.",1126294
"GeneSYS ID, Inc.",1599385
"Gener8 Maritime, Inc.",1443799
General Finance CORP,1342287
"General Growth Properties, Inc.",1496048
"General Moly, Inc",1275229
General Motors Co,1467858
"General Motors Financial Company, Inc.",804269
"Generation NEXT Franchise Brands, Inc.",1526689
"Genesis Healthcare, Inc.",1351051
Genie Energy Ltd.,1528356
"Genius Brands International, Inc.",1355848
Genpact LTD,1398659
"Geo Point Resources, Inc.",1560905
"GeoVax Labs, Inc.",832489
"Georgetown Bancorp, Inc.",1542299
Geospatial Corp,1011395
"Gevo, Inc.",1392380
"GigPeak, Inc.",1432150
Gigamon Inc.,1484504
"Global Blood Therapeutics, Inc.",1629137
"Global Boatworks Holdings, Inc.",1647705
Global Eagle Entertainment Inc.,1512077
"Global Fashion Technologies, Inc.",1338929
Global Future City Holding Inc.,1164964
Global Indemnity plc,1494904
Global Medical REIT Inc.,1533615
"Global Net Lease, Inc.",1526113
Global Partner Acquisition Corp.,1643953
Global Seed Corp,1524829
"Global Self Storage, Inc.",1031235
"Global Water Resources, Inc.",1434728
"Globalstar, Inc.",1366868
Glori Energy Inc.,1597131
"GlyEco, Inc.",931799
GoDaddy Inc.,1609711
"GoPro, Inc.",1500435
"Gogo Baby, Inc.",1616736
Gogo Inc.,1537054
"Gold Torrent, Inc.",1463792
Golden Growers Cooperative,1489874
Golden Minerals Co,1011509
Golden Star Resource Corp.,1375348
Golden State Water CO,92116
"Goldman Sachs BDC, Inc.",1572694
Goldman Sachs Private Middle Market Credit LLC,1674760
Goodman Networks Inc,1335982
Gopher Protocol Inc.,1471781
"Gores Holdings, Inc.",1644406
"Gotham Capital Holdings, Inc.",1290658
Graham Holdings Co,104889
Gramercy Property Trust,1297587
"Grand Canyon Education, Inc.",1434588
Great Ajax Corp.,1614806
"Great Basin Scientific, Inc.",1512138
Great Elm Capital Corp.,1675033
"Great Elm Capital Group, Inc.",1082506
Great Lakes Dredge & Dock CORP,1372020
"Green Bancorp, Inc.",1606363
"Green Brick Partners, Inc.",1373670
"Green Endeavors, Inc.",1487997
"Green Meadow Products, Inc.",1557340
Green Plains Inc.,1309402
Green Plains Partners LP,1635650
Green Planet Bio Engineering Co. Ltd.,1392449
Greenbacker Renewable Energy Co LLC,1563922
"Greenfield Farms Food, Inc.",1440517
"Greenhouse Solutions, Inc.",1491525
Greenpro Capital Corp.,1597846
"Griffin Capital Essential Asset REIT II, Inc.",1600626
"Griffin Capital Essential Asset REIT, Inc.",1456016
"Griffin-American Healthcare REIT III, Inc.",1566912
"Griffin-American Healthcare REIT IV, Inc.",1632970
Griffin-Benefit Street Partners BDC Corp.,1609336
"GroGenesis, Inc.",1497055
"Groupon, Inc.",1490281
GrowGeneration Corp.,1604868
"Growblox Sciences, Inc.",1165320
GrubHub Inc.,1594109
Guaranty Bancorp,1324410
"Guidance Software, Inc.",1375557
Guitammer Co,1334126
"Gulf & Orient Steamship Company, Ltd.",1365388
Gulf Coast Ultra Deep Royalty Trust,1565146
"Gyrodyne, LLC",1589061
"H&E Equipment Services, Inc.",1339605
H/Cell Energy Corp,1676580
"HACKETT GROUP, INC.",1057379
HAEMONETICS CORP,313143
HAHA GENERATION CORP.,1655008
HALCON RESOURCES CORP,1282648
HALF ROBERT INTERNATIONAL INC /DE/,315213
HALLADOR ENERGY CO,788965
HALLIBURTON CO,45012
HALLMARK FINANCIAL SERVICES INC,819913
HALOZYME THERAPEUTICS INC,1159036
HANCOCK HOLDING CO,750577
HANDENI GOLD INC.,1297223
HANDY & HARMAN LTD.,106618
HANMI FINANCIAL CORP,1109242
"HANOVER INSURANCE GROUP, INC.",944695
HARDINGE INC,313716
HARLEY DAVIDSON INC,793952
HARMAN INTERNATIONAL INDUSTRIES INC /DE/,800459
HARMONIC INC,851310
HARRIS & HARRIS GROUP INC /NY/,893739
HARRIS CORP /DE/,202058
HARSCO CORP,45876
HARTE HANKS INC,45919
HARTFORD FINANCIAL SERVICES GROUP INC/DE,874766
HARTFORD LIFE INSURANCE CO,45947
HARVARD BIOSCIENCE INC,1123494
"HARVEST NATURAL RESOURCES, INC.",845289
HASBRO INC,46080
HAVERTY FURNITURE COMPANIES INC,216085
HAWAIIAN ELECTRIC CO INC,46207
HAWAIIAN ELECTRIC INDUSTRIES INC,354707
HAWAIIAN HOLDINGS INC,1172222
HAWKINS INC,46250
"HAWTHORN BANCSHARES, INC.",893847
"HC2 HOLDINGS, INC.",1006837
"HCA Holdings, Inc.",860730
"HCI Group, Inc.",1400810
"HCP, INC.",765880
HCSB FINANCIAL CORP,1091491
HCi Viocare,1402737
HD View 360 Inc.,1651716
HEALTH DISCOVERY CORP,1141788
HEALTHCARE REALTY TRUST INC,899749
HEALTHCARE SERVICES GROUP INC,731012
"HEALTHCARE TRUST OF AMERICA, INC.",1360604
HEALTHSOUTH CORP,785161
HEALTHSTREAM INC,1095565
"HEALTHWAYS, INC",704415
HEARTLAND EXPRESS INC,799233
HEARTLAND FINANCIAL USA INC,920112
"HEAT BIOLOGICS, INC.",1476963
HEAVENSTONE CORP,1624025
HECLA MINING CO/DE/,719413
HEIDRICK & STRUGGLES INTERNATIONAL INC,1066605
HELEN OF TROY LTD,916789
"HELIUS MEDICAL TECHNOLOGIES, INC.",1610853
HELIX ENERGY SOLUTIONS GROUP INC,866829
"HEMISPHERE MEDIA GROUP, INC.",1567345
HEMISPHERX BIOPHARMA INC,946644
HENRY JACK & ASSOCIATES INC,779152
HENRY SCHEIN INC,1000228
HERBALIFE LTD.,1180262
HERC HOLDINGS INC,1364479
HERITAGE COMMERCE CORP,1053352
HERITAGE FINANCIAL CORP /WA/,1046025
HERITAGE OAKS BANCORP,921547
"HERON THERAPEUTICS, INC. /DE/",818033
HERSHA HOSPITALITY TRUST,1063344
HERSHEY CO,47111
HERTZ CORP,47129
"HERTZ GLOBAL HOLDINGS, INC",1657853
HESKA CORP,1038133
HESS CORP,4447
HEXCEL CORP /DE/,717605
HEXION INC.,13239
"HFF, Inc.",1380509
HH BIOTECHNOLOGY HOLDINGS CO,828878
HIGHLANDS BANKSHARES INC /VA/,1008579
HIGHWOODS PROPERTIES INC,921082
HIGHWOODS REALTY LTD PARTNERSHIP,941713
HILLMAN COMPANIES INC,1029831
HILLS BANCORPORATION,732417
"HINES GLOBAL REIT II, INC.",1585101
HINES REAL ESTATE INVESTMENT TRUST INC,1262959
HIP CUISINE INC.,1654588
"HISPANICA INTERNATIONAL DELIGHTS OF AMERICA, INC.",1579010
HISTOGENICS CORP,1372299
HK EBUS Corp,1350421
HMG COURTLAND PROPERTIES INC,311817
HMN FINANCIAL INC,921183
HMS HOLDINGS CORP,1196501
"HMS INCOME FUND, INC.",1535778
HNI CORP,48287
HOLLY ENERGY PARTNERS LP,1283140
"HOME BANCORP, INC.",1436425
HOME BANCSHARES INC,1331520
HOME DEPOT INC,354950
HOMEFED CORP,833795
HOMELAND ENERGY SOLUTIONS LLC,1366744
"HOMETOWN INTERNATIONAL, INC.",1632081
HONEYWELL INTERNATIONAL INC,773840
HOOPER HOLMES INC,741815
HOPE BANCORP INC,1128361
HOPFED BANCORP INC,1041550
HORACE MANN EDUCATORS CORP /DE/,850141
HORIZON BANCORP /IN/,706129
HORIZON MINERALS CORP.,1526726
HORNBECK OFFSHORE SERVICES INC /LA,1131227
HOSPITALITY PROPERTIES TRUST,945394
HOST HOTELS & RESORTS L.P.,1061937
"HOST HOTELS & RESORTS, INC.",1070750
"HOULIHAN LOKEY, INC.",1302215
HOUSTON AMERICAN ENERGY CORP,1156041
"HPC Acquisitions, Inc.",1435224
HPIL HOLDING,1286345
HSBC Finance Corp,354964
HSBC USA INC /MD/,83246
"HSN, Inc.",1434729
"HST Global, Inc.",797564
"HTG MOLECULAR DIAGNOSTICS, INC",1169987
HUBBELL INC,48898
HUBSPOT INC,1404655
HUDSON TECHNOLOGIES INC /NY,925528
HUGOTON ROYALTY TRUST,862022
HUMANA INC,49071
HUNT J B TRANSPORT SERVICES INC,728535
HUNTINGTON BANCSHARES INC/MD,49196
"HUNTINGTON INGALLS INDUSTRIES, INC.",1501585
HUNTSMAN INTERNATIONAL LLC,1089748
HUTTIG BUILDING PRODUCTS INC,1093082
HYBRID Coating Technologies Inc.,1445235
HYPERDYNAMICS CORP,937136
"HYSTER-YALE MATERIALS HANDLING, INC.",1173514
"Habit Restaurants, Inc.",1617977
"Halo Companies, Inc.",814286
"Halyard Health, Inc.",1606498
"Hamilton Bancorp, Inc.",1551739
"Hancock Park Corporate Income, Inc.",1661306
Hanesbrands Inc.,1359841
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",1561894
"HarborOne Bancorp, Inc.",1668224
Harmony Merger Corp.,1612720
"Hartman Short Term Income Properties XX, Inc.",1446687
"Hartman vREIT XXI, Inc.",1654948
Harvest Capital Credit Corp,1559909
"Hawaiian Telcom Holdco, Inc.",1487986
Hawk Street Acquisition Corp,1681302
"Health Insurance Innovations, Inc.",1561387
"Health-Right Discoveries, Inc.",1537663
"HealthTalk Live, Inc.",1580262
"HealthWarehouse.com, Inc.",754813
"Healthcare Trust of America Holdings, LP",1495491
"Healthcare Trust, Inc.",1561032
"HedgePath Pharmaceuticals, Inc.",1042418
Helios & Matheson Analytics Inc.,1040792
Helpful Alliance Co,1561257
Hennessy Capital Acquisition Corp II,1642453
"Hercules Capital, Inc.",1280784
Heritage Global Inc.,849145
"Heritage Insurance Holdings, Inc.",1598665
"Heritage-Crystal Clean, Inc.",1403431
Heyu Leisure Holidays Corp,1586573
Hi-Crush Partners LP,1549848
"Highlands REIT, Inc.",1661458
"Highpower International, Inc.",1368308
"Hill International, Inc.",1287808
Hilltop Holdings Inc.,1265131
Hilton Worldwide Holdings Inc.,1585689
"Hines Global REIT, Inc.",1453818
HollyFrontier Corp,48039
"Home Federal Bancorp, Inc. of Louisiana",1500375
"Home Treasure Finders, Inc.",1527102
"HomeStreet, Inc.",1518715
HomeTown Bankshares Corp,1461640
"HomeTrust Bancshares, Inc.",1538263
Horizon Global Corp,1637655
Horizon Pharma plc,1492426
Horizon Technology Finance Corp,1487428
"Hortonworks, Inc.",1610532
"HotApp International, Inc.",1600347
Houghton Mifflin Harcourt Co,1580156
"House of BODS Fitness, Inc.",1584489
Houston Wire & Cable CO,1356949
Howard Bancorp Inc,1390162
Howard Hughes Corp,1498828
"Hub Group, Inc.",940942
Hubilu Venture Corp,1639068
"Hudson Global, Inc.",1210708
"Hudson Pacific Properties, Inc.",1482512
"Hudson Pacific Properties, L.P.",1496264
Hughes Satellite Systems Corp,1533758
Huntsman CORP,1307954
Huron Consulting Group Inc.,1289848
Hyatt Hotels Corp,1468174
Hydra Industries Acquisition Corp.,1615063
"Hypersolar, Inc.",1481028
IAC/INTERACTIVECORP,891103
IBERIABANK CORP,933141
ICAD INC,749660
ICAHN ENTERPRISES HOLDINGS L.P.,1034563
ICAHN ENTERPRISES L.P.,813762
"ICF International, Inc.",1362004
"ICON ECI FUND FIFTEEN, L.P.",1502519
ICON ECI Fund Sixteen,1561679
"ICON Equipment & Corporate Infrastructure Fund Fourteen, L.P",1446806
"ICON LEASING FUND ELEVEN, LLC",1312910
"ICON LEASING FUND TWELVE, LLC",1377848
"ICONIX BRAND GROUP, INC.",857737
ICTV Brands Inc.,1076522
ICU MEDICAL INC/DE,883984
ID SYSTEMS INC,49615
IDACORP INC,1057877
IDAHO POWER CO,49648
"IDERA PHARMACEUTICALS, INC.",861838
IDEX CORP /DE/,832101
IDEXX LABORATORIES INC /DE,874716
"IDdriven, Inc.",1605024
IEG Holdings Corp,1627811
IEH CORPORATION,50292
"IF Bancorp, Inc.",1514743
IGEN NETWORKS CORP,1393540
IHS Markit Ltd.,1598014
II-VI INC,820318
IKONICS CORP,1083301
"ILG, Inc.",1434620
ILLINOIS TOOL WORKS INC,49826
ILLUMINA INC,1110803
IMAGE SENSING SYSTEMS INC,943034
IMAGEWARE SYSTEMS INC,941685
IMAGING3 INC,1205181
IMATION CORP,1014111
IMAX CORP,921582
IMH Financial Corp,1397403
IMMERSION CORP,1058811
IMMUCELL CORP /DE/,811641
IMMUCOR INC,736822
IMMUNE PHARMACEUTICALS INC,1208261
IMMUNOGEN INC,855654
IMMUNOMEDICS INC,722830
IMPAC MORTGAGE HOLDINGS INC,1000298
IMPAX LABORATORIES INC,1003642
IMPERIAL OIL LTD,49938
IMPERVA INC,1364962
IMPINJ INC,1114995
"INC Research Holdings, Inc.",1610950
INCEPTION MINING INC.,1416090
INCOME OPPORTUNITY REALTY INVESTORS INC /TX/,949961
INCYTE CORP,879169
INDEPENDENCE HOLDING CO,701869
"INDEPENDENCE REALTY TRUST, INC",1466085
INDEPENDENCE TAX CREDIT PLUS L P II,907045
INDEPENDENCE TAX CREDIT PLUS LP IV,940329
INDEPENDENT BANK CORP,776901
INDEPENDENT BANK CORP /MI/,39311
INDIANA MICHIGAN POWER CO,50172
INDUSTRIAL LOGISTICS REALTY TRUST INC.,1625941
INDUSTRIAL PROPERTY TRUST INC.,1558441
INDUSTRIAL SERVICES OF AMERICA INC,4187
INFINERA CORP,1138639
INFINITE GROUP INC,884650
"INFINITY ENERGY RESOURCES, INC",822746
"INFINITY PHARMACEUTICALS, INC.",1113148
INFINITY PROPERTY & CASUALTY CORP,1195933
INFORMATION ANALYSIS INC,803578
INFOSONICS Corp,1274032
"INFRAX SYSTEMS, INC.",1380277
INGRAM MICRO INC,1018003
INLAND LAND APPRECIATION FUND II LP,853496
INNERWORKINGS INC,1350381
"INNOCOM TECHNOLOGY HOLDINGS, INC.",1076541
INNODATA INC,903651
INNOSPEC INC.,1054905
INNOVATIVE FOOD HOLDINGS INC,312257
"INNOVUS PHARMACEUTICALS, INC.",1411879
INOTEK PHARMACEUTICALS CORP,1281895
"INOVIO PHARMACEUTICALS, INC.",1055726
INPHI Corp,1160958
INSIGHT ENTERPRISES INC,932696
INSIGNIA SYSTEMS INC/MN,875355
INSMED Inc,1104506
"INSPERITY, INC.",1000753
"INSTITUTIONAL FINANCIAL MARKETS, INC.",1270436
INSTRUCTURE INC,1355754
INSULET CORP,1145197
INTEGRA LIFESCIENCES HOLDINGS CORP,917520
INTEGRATED BIOPHARMA INC,1016504
INTEGRATED DEVICE TECHNOLOGY INC,703361
"INTEGRATED ENVIRONMENTAL TECHNOLOGIES, LTD.",1084031
INTEGRATED SURGICAL SYSTEMS INC,894871
INTEL CORP,50863
INTELLIGENT CLOUD RESOURCES INC.,1634912
INTELLIGENT SYSTEMS CORP,320340
"INTELLINETICS, INC.",1081745
INTER PARFUMS INC,822663
INTERCEPT PHARMACEUTICALS INC,1270073
"INTERCLOUD SYSTEMS, INC.",1128725
INTERDYNE CO,51011
INTERFACE INC,715787
INTERFACE SECURITY SYSTEMS HOLDINGS INC,1164255
INTERGROUP CORP,69422
INTERLEUKIN GENETICS INC,1037649
INTERLINK ELECTRONICS INC,828146
INTERMOLECULAR INC,1311241
INTERNATIONAL BANCSHARES CORP,315709
INTERNATIONAL BARRIER TECHNOLOGY INC,890543
INTERNATIONAL BUSINESS MACHINES CORP,51143
INTERNATIONAL FLAVORS & FRAGRANCES INC,51253
INTERNATIONAL ISOTOPES INC,1038277
INTERNATIONAL PACKAGING & LOGISTICS GROUP INC.,822997
INTERNATIONAL PAPER CO /NEW/,51434
INTERNATIONAL SPEEDWAY CORP,51548
INTERNATIONAL TOWER HILL MINES LTD,1134115
"INTERNATIONAL WESTERN PETROLEUM, INC.",1603793
"INTERPUBLIC GROUP OF COMPANIES, INC.",51644
INTERSECTIONS INC,1095277
INTERSIL CORP/DE,1096325
INTERSTATE POWER & LIGHT CO,52485
INTEST CORP,1036262
INTEVAC INC,1001902
INTREXON CORP,1356090
INTRICON CORP,88790
INTRUSION INC,736012
INTUIT INC,896878
INTUITIVE SURGICAL INC,1035267
INVACARE CORP,742112
"INVENTURE FOODS, INC.",944508
"INVESTMENT TECHNOLOGY GROUP, INC.",920424
INVESTORS TITLE CO,720858
INVIVO THERAPEUTICS HOLDINGS CORP.,1292519
ION GEOPHYSICAL CORP,866609
IONIS PHARMACEUTICALS INC,874015
"IONIX TECHNOLOGY, INC.",1528308
"IPALCO ENTERPRISES, INC.",728391
IPASS INC,1053374
IPG PHOTONICS CORP,1111928
IRADIMED CORP,1325618
IRIDEX CORP,1006045
IRIS BIOTECHNOLOGIES INC,1396238
IROBOT CORP,1159167
IRON MOUNTAIN INC,1020569
IRONCLAD PERFORMANCE WEAR CORP,1301712
IRONWOOD PHARMACEUTICALS INC,1446847
ISABELLA BANK CORP,842517
ISHARES GOLD TRUST,1278680
ISRAMCO INC,719209
ISSUER DIRECT CORP,843006
ISTAR INC.,1095651
ITC Holdings Corp.,1317630
"ITERIS, INC.",350868
ITRON INC /WA/,780571
ITT Inc.,216228
"IWEB, Inc.",1648365
IXIA,1120295
IXYS CORP /DE/,945699
"IZEA, Inc.",1495231
"Icagen, Inc.",1518520
Ideal Power Inc.,1507957
"Identiv, Inc.",1036044
"Ignite Restaurant Group, Inc.",1526796
"Ignyta, Inc.",1557421
Illinois Power Generating Co,1135361
"Illumination America, Inc.",1662574
Illumitry Corp.,1636760
"Image Chain Group Limited, Inc.",1598924
"Image International Group, Inc.",1578523
"Immudyne, Inc.",948320
Immune Design Corp.,1437786
"Immune Therapeutics, Inc.",1559356
"ImmunoCellular Therapeutics, Ltd.",822411
"Imprimis Pharmaceuticals, Inc.",1360214
"InCapta, Inc.",1099234
Inbit Corp,1657803
"Incoming, Inc.",1423325
"Independence Bancshares, Inc.",1311828
"Independence Contract Drilling, Inc.",1537028
"Independent Bank Group, Inc.",1564618
Independent Film Development CORP,1425883
"India Globalization Capital, Inc.",1326205
Indoor Harvest Corp,1572565
Information Services Group Inc.,1371489
"InfraREIT, Inc.",1506401
Ingersoll-Rand plc,1466258
Ingevity Corp,1653477
Ingredion Inc,1046257
"Inland Real Estate Income Trust, Inc.",1528985
"Inland Residential Properties Trust, Inc.",1595627
"Innerscope Advertising Agency, Inc.",1609139
"InnoVision Labs, Inc",1487522
"Innophos Holdings, Inc.",1364099
"Innoviva, Inc.",1080014
Inogen Inc,1294133
"Inovalon Holdings, Inc.",1619954
"Inrad Optics, Inc.",719494
InsPro Technologies Corp,1309442
"InspireMD, Inc.",1433607
"Inspyr Therapeutics, Inc.",1421204
"Installed Building Products, Inc.",1580905
"Insulcrete, Inc.",841360
"Insynergy Products, Inc",1539850
"Insys Therapeutics, Inc.",1516479
Integer Holdings Corp,1114483
"Integrity Applications, Inc.",1506983
IntelGenx Technologies Corp.,1098880
"Inteliquent, Inc.",1292653
"Intellia Therapeutics, Inc.",1652130
"Intellicheck Mobilisa, Inc.",1040896
Intellisense Solutions Inc.,1577445
"InterDigital, Inc.",1405495
"Interactive Brokers Group, Inc.",1381197
"Interactive Intelligence Group, Inc.",1517650
"Intercontinental Exchange, Inc.",1571949
"Interlink Plus, Inc.",1643988
Internap Corp,1056386
International Endeavors Corp,1611046
International Metals Streaming Corp.,1553734
International Stem Cell CORP,1355790
"Interpace Diagnostics Group, Inc.",1054102
"Intersect ENT, Inc.",1271214
Interups Inc,1554947
"Intra-Cellular Therapies, Inc.",1567514
"IntraLinks Holdings, Inc.",1488075
"Intrawest Resorts Holdings, Inc.",1587755
"Intrepid Potash, Inc.",1421461
"Inuvo, Inc.",829323
InvenSense Inc,1294924
InvenTrust Properties Corp.,1307748
"Inventergy Global, Inc.",1084752
Invesco Ltd.,914208
Invesco Mortgage Capital Inc.,1437071
Investar Holding Corp,1602658
"Investors Bancorp, Inc.",1594012
Investors Heritage Capital Corp,55362
"Investview, Inc.",862651
Invitae Corp,1501134
"Invuity, Inc.",1393020
Iridium Communications Inc.,1418819
Iron Sands Corp.,1527727
"IsoRay, Inc.",728387
J CREW GROUP INC,1051251
J M SMUCKER Co,91419
"J. Alexander's Holdings, Inc.",1617227
J.G. Wentworth Co,1580185
"J2 GLOBAL, INC.",1084048
JAKKS PACIFIC INC,1009829
"JAMBA, INC.",1316898
JANUS CAPITAL GROUP INC,1065865
JETBLUE AIRWAYS CORP,1158463
JM Global Holding Co,1641398
JMB 245 PARK AVENUE ASSOCIATES LTD,747159
JMP GROUP LLC,1302350
JOBLOCATIONMAP INC,1555995
"JOEY NEW YORK, INC.",1542013
JOHNSON & JOHNSON,200406
JOINT Corp,1612630
JONES FINANCIAL COMPANIES LLLP,815917
JONES LANG LASALLE INC,1037976
JONES SODA CO,1083522
JP Energy Partners LP,1523404
JPMORGAN CHASE & CO,19617
JPX Global Inc.,1506814
JRSIS HEALTH CARE Corp,1597892
"JRjr33, Inc.",1403085
JUNIATA VALLEY FINANCIAL CORP,714712
JUNIPER NETWORKS INC,1043604
JUNIPER PHARMACEUTICALS INC,821995
Jack Cooper Holdings Corp.,1655780
"Jacksonville Bancorp, Inc.",1484949
Jade Island Acquisition Corp,1672887
"Jaguar Animal Health, Inc.",1585608
"James River Group Holdings, Ltd.",1620459
"Jason Industries, Inc.",1579252
Jazz Pharmaceuticals plc,1232524
Jefferies Group LLC,1084580
Jensyn Acquisition Corp.,1634447
"Jernigan Capital, Inc.",1622353
"Jerrick Media Holdings, Inc.",1357671
JetPay Corp,1507986
"Jive Software, Inc.",1462633
John Bean Technologies CORP,1433660
"Jones Energy, Inc.",1573166
"Jones Lang LaSalle Income Property Trust, Inc.",1314152
Joway Health Industries Group Inc,1263364
"Jubilant Flame International, Ltd",1517389
"Juno Therapeutics, Inc.",1594864
K12 INC,1157408
"K2M GROUP HOLDINGS, INC.",1499807
KAANAPALI LAND LLC,1230058
KADANT INC,886346
KAISER ALUMINUM CORP,811596
KALOBIOS PHARMACEUTICALS INC,1293310
KAMAN Corp,54381
KANGE CORP,1593773
KANSAS CITY POWER & LIGHT CO,54476
KANSAS CITY SOUTHERN,54480
KAPSTONE PAPER & PACKAGING CORP,1325281
"KAR Auction Services, Inc.",1395942
KATY INDUSTRIES INC,54681
KB HOME,795266
"KBR, INC.",1357615
"KBS Growth & Income REIT, Inc.",1631256
"KBS Legacy Partners Apartment REIT, Inc.",1469822
"KBS Real Estate Investment Trust II, Inc.",1411059
"KBS Real Estate Investment Trust III, Inc.",1482430
"KBS Real Estate Investment Trust, Inc.",1330622
"KBS Strategic Opportunity REIT II, Inc.",1580673
"KBS Strategic Opportunity REIT, Inc.",1452936
"KCAP Financial, Inc.",1372807
"KCG Holdings, Inc.",1569391
KELLOGG CO,55067
KELLY SERVICES INC,55135
KEMET CORP,887730
KEMPER Corp,860748
"KEMPHARM, INC",1434647
KENNAMETAL INC,55242
KENTUCKY BANCSHARES INC /KY/,1000232
KENTUCKY UTILITIES CO,55387
KERYX BIOPHARMACEUTICALS INC,1114220
KEY ENERGY SERVICES INC,318996
KEY TRONIC CORP,719733
KEYCORP /NEW/,91576
KEYW HOLDING CORP,1487101
KFORCE INC,930420
KIEWIT ROYALTY TRUST,711477
KILROY REALTY CORP,1025996
KIMBALL INTERNATIONAL INC,55772
KIMBERLY CLARK CORP,55785
KIMCO REALTY CORP,879101
